Trade Date,Settle Date,Txn,Symbol,Security,Price,QTY,Comments,Comm,Sec Fee,Other,Foreign Withheld,Amount,Broker,Gain
7/1/2009,7/6/2009,ss,AEO,AMERICAN EAGLE OUTFITTERS NEW,14.273902,1440,,28.8,0.53,0,0,20525.09,BTIG,0
7/1/2009,7/1/2009,by,AMORTIZE,AMORTIZE FEE,1,24467,,0,0,0,0,-24467,STUP,0
7/1/2009,7/1/2009,sl,AMORTIZE,AMORTIZE FEE,1,8156,,0,0,0,0,8156,STUP,0
7/1/2009,7/6/2009,by,ANN,ANN INC,8.375599,2220,,44.4,0,0,0,-18638.23,BTIG,0
7/1/2009,7/6/2009,by,BBBY,BED BATH & BEYOND INC,30.76719,420,,15,0,0,0,-12937.22,BTIG,0
7/1/2009,7/6/2009,ss,BEBE,BEBE STORES INC,6.889299,2940,,58.8,0.53,0,0,20195.21,BTIG,0
7/1/2009,7/6/2009,ss,BGP,BORDERS GROUP INC,3.7082,4200,,84,0.41,0,0,15490.03,BTIG,0
7/1/2009,7/6/2009,by,BJ,BJ'S WHOLESALE CLUB INC,32.254107,560,,15,0,0,0,-18077.3,BTIG,0
7/1/2009,7/6/2009,ss,BWS,BROWN SHOE INC NEW,7.5805,2140,,42.8,0.42,0,0,16179.05,BTIG,0
7/1/2009,7/6/2009,by,CBK,CHRISTOPHER & BANKS CORP,6.8198,2660,,53.2,0,0,0,-18193.87,BTIG,0
7/1/2009,7/6/2009,ss,CHKE,CHEROKEE INC DEL NEW,20.209205,780,,15.6,0.41,0,0,15747.17,BTIG,0
7/1/2009,7/6/2009,ss,CHRS,CHARMING SHOPPES INC,3.7538,4160,,83.2,0.41,0,0,15532.2,BTIG,0
7/1/2009,7/6/2009,ss,CHS,CHICOS FAS INC,9.8807,1600,,32,0.41,0,0,15776.71,BTIG,0
7/1/2009,7/6/2009,ss,COH,COACH INC,27.097896,580,,15,0.41,0,0,15701.37,BTIG,0
7/1/2009,7/6/2009,by,COLM,COLUMBIA SPORTSWEAR CO,31.440297,740,,15,0,0,0,-23280.82,BTIG,0
7/1/2009,7/6/2009,ss,CSTR,COINSTAR INC,27.105706,580,,15,0.41,0,0,15705.9,BTIG,0
7/1/2009,7/6/2009,ss,CTRN,CITI TRENDS INC,25.4617,600,,15,0.4,0,0,15261.62,BTIG,0
7/1/2009,7/6/2009,by,DBRN,DRESS BARN INC,14.721596,1240,,24.8,0,0,0,-18279.58,BTIG,0
7/1/2009,7/6/2009,by,DECK,DECKERS OUTDOOR CORP,71.4665,260,,15,0,0,0,-18596.29,BTIG,0
7/1/2009,7/6/2009,ss,DKS,DICKS SPORTING GOODS INC,17.0167,900,,18,0.4,0,0,15296.63,BTIG,0
7/1/2009,7/6/2009,by,DSW,DSW INC CL A,10.635095,840,,16.8,0,0,0,-8950.28,BTIG,0
7/1/2009,7/6/2009,ss,FBN,FURNITURE BRANDS INTL INC,3.1345,5120,,102.4,0.42,0,0,15945.82,BTIG,0
7/1/2009,7/6/2009,by,FINL,THE FINISH LINE-CL A,7.452,2400,,48,0,0,0,-17932.8,BTIG,0
